,precision,recall,f1-score,support
BERHI,1.0,0.9230769230769231,0.96,13.0
DEGLET,0.7647058823529411,0.65,0.7027027027027027,20.0
DOKOL,0.8695652173913043,0.975609756097561,0.9195402298850575,41.0
IRAQI,0.9333333333333333,1.0,0.9655172413793104,14.0
ROTANA,0.9428571428571428,1.0,0.9705882352941176,33.0
SAFAVI,0.975609756097561,1.0,0.9876543209876543,40.0
SOGAY,0.9285714285714286,0.6842105263157895,0.7878787878787878,19.0
accuracy,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
macro avg,0.9163775372291016,0.8904138864986104,0.8991259311610901,180.0
weighted avg,0.9155249518211903,0.9166666666666666,0.9125429246253377,180.0
